,smiles,id,hlogp,MW,logP,HBD,HBA,TPSA,qed,RotableBonds
93,C1(=CC=CC=C1)S(=O)(=O)NC1=CC=C(CC2C=CC(NS(=O)(=O)C3C=CC=CC=3)=CC=2)C=C1,MCULE-8608850716,H33P480,478.59500000000014,4.879000000000003,2.0,4.0,92.34,0.3775650871733808,8.0
94,COC(C1OC(CSC2NN=C(C3SC=CC=3)N=2)=CC=1)=O,MCULE-5157525596,H21P320,321.38300000000004,3.2051000000000007,1.0,7.0,81.00999999999999,0.5738953154741342,5.0
95,C12C(=NC=NC=1C1=C(N=C(C3COC(C)(C)CC1=3)C)O2)N1CCC(CC1)C,MCULE-6936451845,H27P410,366.46500000000015,4.167020000000003,0.0,6.0,64.28,0.644055151529681,1.0
96,O=C(C1C(I)=CC=CC=1C)Cl,MCULE-3170978370,H11P290,280.492,2.978620000000001,0.0,1.0,17.07,0.5708159581396213,1.0
97,C=CN1C2=CC=C(Br)C=C2C2(CC2)C1=O,MCULE-6589117650,H15P290,264.122,2.970800000000001,0.0,1.0,20.31,0.7631792967823863,1.0
98,CC1S(=O)(=O)CCN(C(C2=C(Br)C=CC=C2)=O)CC1,MCULE-7370742058,H19P200,346.2460000000001,2.0983,0.0,3.0,54.45,0.7825872502281169,1.0
99,CC1CN(C(C(NC2CN(C3C(=O)NC=CN=3)CCC2)=O)=O)CCC1,MCULE-6178727408,H25P010,347.4190000000002,0.1134000000000012,2.0,5.0,98.39999999999998,0.7403111286456066,2.0
100,C1(C#N)C2CCCC=2C(=NC=1OCCOC)C1C=CC=CC=1,MCULE-9208562318,H22P310,294.3539999999999,3.134180000000001,0.0,4.0,55.14,0.7949683319337706,5.0
101,[C@H]1(OC2=CC=C(C=C2)[C@@]2([H])C[C@@H]([C@]3([C@@]([H])(CCC3)O2)[H])NC(C(C)C)=O)O[C@H](CO)[C@H]([C@H](O)[C@@H]1O)O,MCULE-9244243895,H33P060,465.5430000000001,0.6361999999999994,5.0,8.0,137.71,0.4126842381010797,6.0
102,C1(C(=O)N2CC[C@@H]([C@@H](OC3C=CC(=CC=3)F)CC2)O)C=C(ON=1)C1C=CC(=CC=1)C,MCULE-3609054282,H30P380,410.4450000000001,3.8336200000000025,1.0,5.0,75.80000000000001,0.7074697143197533,4.0
103,S(C1C=CC=CC=1)(=O)(=O)NN=C(C)C1C=CC(=CC=1)NC(=O)C1=CC=CS1,MCULE-2692805469,H27P370,399.49700000000007,3.7029000000000014,2.0,5.0,87.63,0.4892924856912784,6.0
104,C12=CC(=NN1C=NN(CC(=O)NCC1CCCO1)C2=O)C1C=CC=CC=1,MCULE-9160319615,H26P080,353.38200000000006,0.8531999999999995,1.0,7.0,90.52,0.7344412185382109,5.0
105,N1(CCN(CC1)C1=CC=CC=C1NC(COC1=CC=CC=C1Cl)=O)C(C)=O,MCULE-6569212084,H27P300,387.8670000000001,3.0260000000000016,1.0,4.0,61.88,0.8561870710029602,5.0
106,C(=O)(C1C=NC(=NC=1)CC)N1CCC(CC1)N(C)CC1=CC=CC=C1,MCULE-2509441658,H25P270,338.45500000000004,2.7756000000000016,0.0,4.0,49.330000000000005,0.8410594705585409,5.0
107,C1(C2=CC=C(C=C2)O)OC2C=CC=CC=2C(=O)C=1,MCULE-8416695805,H18P310,238.242,3.1656000000000013,1.0,3.0,50.440000000000005,0.707998047535363,1.0
108,N1(CC(=O)NC2C=CC(=CC=2)C)C(=O)C(NC1=O)=CC1=CC=CC(C)=C1,MCULE-1410068960,H26P280,349.39000000000004,2.8348400000000007,2.0,3.0,78.51,0.6580135699636245,4.0
109,C12=NN(C(=O)N1C=CC=C2S(=O)(=O)N1CCCCC1)CC1C=CC=C(F)C=1,MCULE-5005462334,H27P180,390.4400000000001,1.858,0.0,6.0,76.67999999999999,0.6813860636308426,4.0
110,C1(=C(C)C=C(N(CC(=O)NC2=CC=CC=C2C(F)(F)F)C1=O)C)S(=O)(=O)C1=CC=C(C=C1)C,MCULE-5382287529,H33P420,478.49200000000025,4.263860000000003,1.0,5.0,85.24000000000001,0.5938405429381923,5.0
111,C1(C)C2=C(O)C=C(C=C2OC(=O)C=1CC(=O)N[C@H](C)C(O)=O)C,MCULE-5395474004,H23P120,319.31300000000005,1.2472399999999997,3.0,5.0,116.84,0.7301460872544067,4.0
112,CC1C=CC2C(=CC(=CC=2)I)N=1,MCULE-3356934218,H12P310,269.085,3.147820000000001,0.0,1.0,12.89,0.6693568897099352,0.0
113,N[C@@H]1C2C=C(C(=CC=2CC1)Br)F,MCULE-5840876172,H12P250,230.08,2.534200000000001,1.0,1.0,26.02,0.7276198754992717,0.0
114,C1=CC(C(O)(C2C(OC)=CC=CC=2)CCN2CCCCC2)=CC=C1OCCC,MCULE-6195952556,H28P450,383.5320000000002,4.595900000000005,1.0,4.0,41.93000000000001,0.6873221707230589,9.0
115,N1=C(C(F)(F)F)C=C(C2C=CC(=C(F)C=2)O)N1C1C=CC(=CC=1)S(N)(=O)=O,MCULE-4695213155,H27P300,401.3410000000001,3.050200000000002,2.0,5.0,98.21,0.6593529623607116,3.0
