,protein_name,compound_name,smiles,pocket_name,pocket_com,affinity
135,6dlo,,N1(N)C(SCCC(=O)NC2=CC(OC)=CC(OC)=C2)=NN=C1C(C)C,protein_center,"-18.041,-13.011,7.779",2.5948718
136,6dlo,,COC(C1SC=C(C)N=1)CN,protein_center,"-18.041,-13.011,7.779",2.4647713
137,6dlo,,N1C=CNC=1CN(C)CC1CCCN(CCC2=CC=C(C=C2)OC)C1,protein_center,"-18.041,-13.011,7.779",4.2033176
138,6dlo,,N1=C(CN(C)CCC2NC3C(=CC=CC=3)N=2)ON=C1C1CC1,protein_center,"-18.041,-13.011,7.779",3.102934
139,6dlo,,CC1C(N)=C(C)N(CCC2CCC2)N=1,protein_center,"-18.041,-13.011,7.779",2.6659653
140,6dlo,,C1(=NN(C=N1)CC(=O)NCC1=CC=CC=C1C)NC(C1=CC=CC=C1)=O,protein_center,"-18.041,-13.011,7.779",3.4961925
141,6dlo,,CC1OC(C)=C(C(OCC(CCC#N)(C)C)=O)C=1,protein_center,"-18.041,-13.011,7.779",2.5471838
142,6dlo,,C12=NC(CN(C)C(=O)C3=C(C=CC=C3OC)OC)=NC(C)=C1CCC(=O)N2CC1CC1,protein_center,"-18.041,-13.011,7.779",3.558936
143,6dlo,,N1(C2C=CC(=CC=2)C)N=C(C2C=NC3=CC=C(Br)C=C3C=21)C1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",6.972286
144,6dlo,,S(=O)(=O)(C1C=CC(=CC=1)Br)N1CCC2C=C(C=CC1=2)C(NCCC)=O,protein_center,"-18.041,-13.011,7.779",4.067219
145,6dlo,,N12CCNCCC1=NN=C2CNC(=O)C1CCOC1,protein_center,"-18.041,-13.011,7.779",0.9608562
146,6dlo,,C1(C(C)=O)C=C(N(C)C=1)CN(C)CC1CC(N(C)C1)=O,protein_center,"-18.041,-13.011,7.779",1.5304217
147,6dlo,,C12=NN=C(C(C)C)N1C1C(=CC=CC=1)N(CC(=O)NC1=CC=C(C=C1)OC)C2=O,protein_center,"-18.041,-13.011,7.779",3.050425
148,6dlo,,O(C)C1=CC(C(C)=O)=C(C=C1CC)N,protein_center,"-18.041,-13.011,7.779",1.7046692
